GeneID,log2(FC)M2,P-valueM2,P-adjM2,log2(FC)M4,P-valueM4,P-adjM4
ENSG00000232163,NA,NA,NA,NA,NA,NA
ENSG00000232164,0.057597279,0.372105236,NA,0.000581742,0.986605352,NA
ENSG00000232165,NA,NA,NA,NA,NA,NA
ENSG00000232166,NA,NA,NA,NA,NA,NA
ENSG00000232167,NA,NA,NA,NA,NA,NA
ENSG00000232168,NA,NA,NA,NA,NA,NA
ENSG00000232169,NA,NA,NA,NA,NA,NA
ENSG00000232170,NA,NA,NA,NA,NA,NA
ENSG00000232172,0.012946606,0.763648132,NA,-0.041135045,0.32322538,NA
ENSG00000232173,NA,NA,NA,NA,NA,NA
ENSG00000232174,NA,NA,NA,NA,NA,NA
ENSG00000232175,NA,NA,NA,NA,NA,NA
ENSG00000232176,0.111216276,0.566128797,0.846062317,-0.144855424,0.297263765,0.641008968
ENSG00000232177,NA,NA,NA,NA,NA,NA
ENSG00000232178,NA,NA,NA,NA,NA,NA
ENSG00000232179,NA,NA,NA,NA,NA,NA
ENSG00000232180,NA,NA,NA,NA,NA,NA
ENSG00000232183,NA,NA,NA,0.000581742,0.986605352,NA
ENSG00000232184,NA,NA,NA,NA,NA,NA
ENSG00000232185,-0.026681846,0.561111061,NA,0.007156764,0.802934389,NA
ENSG00000232186,-0.063802212,0.771759592,NA,-0.300366455,0.075618737,0.322918882
ENSG00000232187,-0.025228561,0.904291,NA,0.05005842,0.743067161,NA
ENSG00000232188,NA,NA,NA,0.007156764,0.802934389,NA
ENSG00000232189,NA,NA,NA,NA,NA,NA
ENSG00000232190,NA,NA,NA,NA,NA,NA
ENSG00000232192,NA,NA,NA,NA,NA,NA
ENSG00000232193,NA,NA,NA,NA,NA,NA
ENSG00000232194,0.012946606,0.763648132,NA,0.000562389,0.986832295,NA
ENSG00000232195,NA,NA,NA,-0.006362426,0.824428122,NA
ENSG00000232196,NA,NA,NA,NA,NA,NA
ENSG00000232197,-0.011911674,0.782043764,NA,NA,NA,NA
